,driver_id,2017-06-01,2017-06-02,2017-06-03,2017-06-04,2017-06-05,2017-06-06,2017-06-07,2017-06-08,2017-06-09,2017-06-10,2017-06-11,2017-06-12,2017-06-13,2017-06-14,2017-06-15,2017-06-16,2017-06-17,2017-06-18,2017-06-19,2017-06-20,2017-06-21,gender,age,number_of_kids,isMALE,hasKids
15,117677,3,0,5,0,1,1,1,3,2,7,0,2,2,2,2,3,5,0,4,3,4,MALE,46,0,1,0
16,118193,2,5,0,0,1,0,3,1,1,0,0,5,0,2,2,4,0,0,3,0,3,MALE,48,2,1,1
17,119052,4,5,6,5,7,7,5,7,7,6,7,6,7,7,8,7,6,7,8,8,6,MALE,32,2,1,1
18,119171,2,4,0,6,4,1,1,0,4,0,6,3,2,1,0,5,0,6,1,3,3,MALE,69,4,1,1
19,119197,6,6,8,9,9,8,6,9,8,6,9,8,9,7,5,0,7,5,0,9,8,MALE,20,1,1,1
20,119624,7,4,5,0,5,5,7,5,6,4,6,5,7,8,7,7,7,7,6,5,5,MALE,30,0,1,0
21,120546,5,7,6,6,4,8,7,7,8,6,9,7,8,7,7,6,8,6,8,8,8,MALE,42,3,1,1
22,120644,8,8,7,6,8,8,8,8,5,0,5,0,8,7,6,0,5,8,9,6,5,MALE,21,0,1,0
23,120837,6,6,0,0,0,6,9,8,8,0,0,0,7,6,6,8,0,0,0,9,5,MALE,18,4,1,1
24,120966,7,6,0,0,6,6,7,6,4,0,0,7,8,6,6,8,0,0,8,6,8,MALE,30,0,1,0
25,121222,6,9,9,7,8,9,6,6,7,5,8,7,8,5,0,6,5,7,8,8,5,MALE,29,1,1,1
26,121564,8,6,0,0,6,8,0,8,6,0,0,8,7,0,7,9,0,0,9,6,0,MALE,28,4,1,1
27,121706,6,6,5,5,7,8,6,0,6,6,5,8,7,8,6,8,8,5,7,5,8,MALE,24,0,1,0
28,122227,7,6,5,5,7,6,6,8,7,4,7,4,5,8,7,7,7,6,6,5,7,MALE,31,0,1,0
29,122436,1,4,3,2,3,3,3,3,2,2,2,2,3,2,2,2,2,3,1,2,1,FEMALE,25,0,0,0
30,123226,0,4,0,0,4,1,2,0,4,0,0,1,4,3,2,1,0,0,4,1,1,FEMALE,41,3,0,1
31,124015,0,7,7,6,7,7,7,6,6,0,5,7,7,6,7,7,7,5,6,5,6,MALE,44,1,1,1
32,124145,0,8,7,9,7,8,9,7,9,7,9,8,6,6,6,7,10,6,6,6,9,MALE,25,4,1,1
33,124478,8,5,7,7,8,5,6,6,6,8,5,7,5,5,6,6,6,6,5,6,0,MALE,32,2,1,1
34,124768,5,0,8,6,6,7,5,7,6,8,8,6,8,8,6,7,7,8,7,8,8,MALE,28,0,1,0
35,124794,6,0,0,0,7,5,7,6,0,0,0,7,8,0,7,0,0,0,6,6,6,MALE,23,0,1,0
36,124949,6,8,8,0,5,5,6,6,6,7,1,7,7,6,7,7,7,0,5,7,6,MALE,46,2,1,1
37,125160,5,7,0,0,7,6,5,7,9,0,0,6,8,7,5,8,0,0,7,7,5,MALE,42,2,1,1
38,125616,3,2,3,0,1,0,3,4,2,3,4,0,1,3,4,3,2,3,2,2,2,FEMALE,23,0,0,0
39,125793,3,1,6,0,3,2,0,3,3,5,0,3,3,4,4,3,6,0,3,4,3,MALE,31,2,1,1
40,126037,8,8,0,7,6,9,8,0,8,0,6,8,9,9,8,9,0,5,9,8,7,MALE,20,4,1,1
41,127254,3,5,0,0,4,5,6,3,5,0,0,5,3,3,7,3,0,0,6,6,6,MALE,65,1,1,1
42,127312,5,4,7,7,4,5,5,2,3,5,0,4,3,3,3,3,7,0,2,2,3,MALE,21,4,1,1
43,128010,5,2,0,6,2,4,2,2,3,8,7,4,4,4,3,5,9,9,1,3,5,MALE,19,1,1,1
44,128249,5,5,3,5,7,6,7,5,5,6,0,6,6,6,6,4,5,4,7,7,7,MALE,51,0,1,0
45,128533,4,4,8,7,1,4,4,5,4,5,5,0,4,1,3,3,7,7,3,2,0,MALE,18,0,1,0
46,129546,3,2,7,8,1,2,3,1,3,6,5,0,2,4,3,2,7,5,2,5,1,MALE,22,0,1,0
47,129617,4,4,3,6,5,5,5,3,5,5,4,7,0,4,4,3,6,4,7,4,6,MALE,51,2,1,1
48,129861,0,2,0,0,0,0,1,4,3,0,0,3,4,4,3,3,0,0,3,3,3,FEMALE,73,3,0,1
49,130269,2,1,0,0,1,4,4,3,4,0,0,1,0,4,0,4,0,0,3,0,1,FEMALE,29,2,0,1
50,130354,6,7,4,8,5,5,9,5,6,8,5,6,8,8,6,7,7,0,7,5,5,MALE,29,0,1,0
51,130677,1,0,0,0,1,1,1,3,2,0,0,2,4,2,2,3,0,0,2,2,3,FEMALE,34,0,0,0
52,131695,1,2,5,7,4,4,1,4,2,4,0,3,1,4,2,2,6,5,3,2,5,MALE,48,1,1,1
53,132055,4,2,0,8,3,4,1,4,3,0,7,2,0,2,3,4,0,5,0,1,1,MALE,38,3,1,1
54,132202,0,7,0,0,6,5,5,0,8,0,0,7,9,6,0,9,0,0,5,7,8,MALE,31,2,1,1
55,132429,7,9,0,0,0,6,8,7,8,0,0,0,7,7,7,7,0,0,0,7,7,MALE,21,2,1,1
56,132775,7,7,6,4,7,5,7,6,0,6,7,6,7,7,6,6,5,7,4,4,6,MALE,35,0,1,0
57,132869,4,0,0,0,3,3,3,3,2,0,0,3,3,2,2,0,0,0,2,2,2,MALE,44,0,1,0
58,133159,7,6,8,5,9,8,4,7,5,5,7,6,6,7,7,7,6,5,6,8,5,MALE,21,0,1,0
59,133172,1,2,0,7,2,1,4,2,3,0,5,4,0,4,2,2,0,8,2,1,3,MALE,30,0,1,0
60,133566,4,4,0,0,1,1,0,0,3,0,0,1,2,0,2,3,0,0,4,4,0,MALE,40,0,1,0
61,133995,5,5,7,6,5,5,8,8,5,7,5,5,5,8,0,8,8,8,5,5,5,MALE,24,0,1,0
62,134678,6,7,3,7,7,6,5,4,0,6,4,6,5,5,5,4,6,4,4,5,5,MALE,71,0,1,0
63,134756,7,5,7,7,6,5,6,9,7,5,7,8,6,8,4,6,6,8,8,6,0,MALE,34,4,1,1
64,135348,6,0,0,7,9,2,7,7,9,9,7,8,9,8,8,2,7,8,7,9,7,MALE,19,1,1,1
65,135486,2,2,6,5,0,2,0,4,1,9,5,3,2,4,2,3,6,6,4,4,4,MALE,49,4,1,1
66,135647,1,3,0,0,0,4,2,0,0,0,0,3,3,2,3,2,0,0,0,1,3,MALE,50,3,1,1
67,136540,3,2,0,0,1,1,1,2,2,0,0,2,0,4,3,3,0,0,1,2,0,FEMALE,45,0,0,0
68,137027,1,4,0,0,4,1,1,0,1,0,0,2,2,2,2,3,0,0,1,3,1,FEMALE,45,3,0,1
69,137276,3,1,6,0,1,0,2,3,0,0,0,2,3,3,1,0,7,0,1,4,4,MALE,51,0,1,0
70,138055,9,7,6,6,8,0,7,6,7,9,9,6,8,8,5,8,8,5,8,8,9,MALE,30,2,1,1
71,138307,6,7,6,9,5,0,6,8,4,5,8,6,7,8,5,5,6,7,6,6,8,MALE,46,3,1,1
72,138872,8,7,9,9,7,7,7,7,9,0,7,7,6,6,6,8,9,6,9,7,8,MALE,27,2,1,1
73,139087,1,2,0,0,2,1,3,1,0,0,0,2,1,0,3,3,0,0,2,3,3,FEMALE,33,0,0,0
74,139318,4,3,0,0,1,3,1,1,1,0,0,2,2,2,0,4,0,0,4,1,1,FEMALE,43,1,0,1
75,139362,3,2,3,3,2,2,0,3,2,1,0,2,2,2,3,3,2,2,2,2,3,FEMALE,33,0,0,0
76,139649,4,0,0,0,1,2,4,1,4,0,0,3,4,3,0,3,0,0,3,2,4,MALE,42,2,1,1
77,140024,1,1,0,4,2,1,4,1,3,0,3,3,1,1,1,0,0,6,3,2,2,MALE,48,0,1,0
78,140187,3,4,1,2,2,4,1,4,2,4,4,3,0,2,1,2,0,2,3,3,4,FEMALE,35,2,0,1
79,140793,9,7,7,0,0,9,6,8,8,7,7,7,6,9,6,7,8,8,9,6,7,MALE,19,4,1,1
80,140912,4,0,0,0,4,3,2,4,0,0,0,4,4,4,3,0,0,0,4,0,2,MALE,43,2,1,1
81,141244,0,1,5,0,1,1,3,3,1,7,0,4,2,3,3,3,6,0,2,1,3,MALE,33,0,1,0
82,141389,6,7,7,6,6,6,7,0,7,7,7,6,4,7,7,6,6,6,7,4,5,FEMALE,39,4,0,1
83,141953,9,8,8,6,6,9,7,0,5,6,6,5,9,9,8,5,6,8,8,8,7,MALE,26,3,1,1
84,141966,1,2,0,7,3,3,2,3,1,0,0,3,2,3,1,3,0,5,2,1,2,MALE,21,0,1,0
85,142752,6,4,0,4,5,5,5,7,4,4,6,4,5,5,5,6,6,6,6,0,4,MALE,63,3,1,1
86,143113,7,5,0,0,5,0,5,7,6,0,0,9,0,5,6,8,0,0,7,0,8,MALE,38,2,1,1
87,143155,4,4,2,0,3,4,1,1,2,4,0,2,2,4,2,1,1,2,4,3,2,FEMALE,19,4,0,1
88,143942,7,7,7,8,9,2,0,7,7,8,8,6,7,8,7,7,6,6,7,7,6,MALE,30,1,1,1
89,144702,2,2,0,0,1,3,2,2,0,0,0,4,2,3,1,3,0,0,2,3,1,FEMALE,28,4,0,1
90,145857,5,8,7,9,6,8,7,7,6,7,8,7,7,5,8,0,8,8,5,5,8,MALE,27,0,1,0
91,146367,1,1,0,0,2,2,4,2,1,0,0,1,3,4,4,3,0,0,3,4,2,MALE,61,1,1,1
92,148253,8,7,6,0,6,9,9,7,6,8,0,8,7,8,5,6,7,0,6,8,7,MALE,22,1,1,1
93,148850,5,7,6,5,6,7,7,4,7,3,7,7,4,4,4,8,6,7,6,5,6,MALE,38,0,1,0
94,150042,1,4,0,0,2,3,5,2,4,0,0,3,3,1,5,3,0,0,1,3,2,MALE,26,0,1,0
95,150113,0,4,3,0,4,6,5,6,0,4,0,5,5,4,6,6,4,0,4,4,3,MALE,54,2,1,1
96,150525,6,6,7,5,4,7,7,5,7,4,7,7,0,4,6,6,7,6,7,7,6,MALE,46,0,1,0
97,150836,0,1,0,0,2,1,0,1,0,0,0,3,2,2,2,2,0,0,1,1,1,FEMALE,58,2,0,1
98,151349,1,5,7,9,2,5,5,5,5,8,6,5,4,5,4,3,7,7,3,2,2,MALE,26,3,1,1
99,151542,3,0,0,0,4,3,2,3,2,0,0,1,2,2,3,3,0,0,3,3,3,FEMALE,41,0,0,0
100,151806,6,8,7,6,5,0,7,0,7,5,6,5,6,5,5,7,8,7,4,7,8,MALE,39,3,1,1
101,151907,0,3,6,7,3,5,6,5,3,4,3,6,0,7,0,5,0,6,5,3,4,MALE,75,4,1,1
102,152078,5,7,9,6,8,9,0,6,8,6,5,6,8,6,8,5,6,6,6,7,8,MALE,19,3,1,1
103,152567,0,6,3,3,7,6,3,3,3,6,4,3,4,4,6,6,0,5,4,3,7,MALE,69,0,1,0
104,153906,5,6,0,0,4,4,4,7,7,0,0,5,8,7,3,7,0,0,4,5,0,FEMALE,46,4,0,1
105,153964,3,2,0,7,0,1,3,1,2,0,6,3,3,0,4,1,0,6,2,5,1,MALE,20,0,1,0
106,154341,5,5,0,7,7,7,9,6,7,0,8,5,7,7,8,8,0,8,5,5,5,MALE,46,3,1,1
107,154517,0,8,6,8,7,10,9,6,6,7,6,6,7,9,10,7,8,0,9,7,7,MALE,25,2,1,1
108,154993,1,3,0,5,3,4,0,3,4,9,6,1,1,4,1,1,8,7,2,3,1,MALE,20,0,1,0
109,155100,2,1,0,7,3,3,4,4,4,0,5,4,4,1,1,4,0,8,3,2,4,MALE,42,4,1,1
110,155193,7,8,5,6,7,7,6,5,6,0,6,7,7,7,5,6,7,6,7,7,8,MALE,26,0,1,0
111,156995,0,4,0,7,3,2,2,1,4,0,6,2,4,2,1,4,0,6,1,3,0,MALE,23,0,1,0
112,158690,7,6,7,5,5,5,7,5,6,6,4,7,5,6,4,5,7,7,6,7,5,FEMALE,44,2,0,1
113,158932,5,7,6,7,6,7,6,7,8,7,6,5,4,7,7,5,7,8,7,7,1,MALE,29,0,1,0
114,159157,2,4,4,5,3,3,3,3,2,6,4,1,2,2,5,2,6,6,3,3,4,MALE,72,4,1,1
115,159444,7,8,6,6,8,5,8,5,0,6,5,5,7,5,6,6,7,6,5,7,7,MALE,25,0,1,0
116,159948,1,3,0,5,4,4,3,3,3,0,6,2,4,3,3,4,0,8,4,1,0,MALE,21,0,1,0
117,160305,5,7,6,8,5,8,7,9,6,8,8,6,7,6,6,6,8,8,8,6,5,MALE,22,0,1,0
118,160350,9,6,0,0,7,0,5,7,7,0,0,6,7,5,5,7,0,0,8,6,5,MALE,25,0,1,0
119,161607,4,7,5,0,6,7,5,6,7,7,4,7,4,6,0,6,7,4,3,7,6,FEMALE,18,0,0,0
120,162047,6,4,6,6,7,6,4,7,3,3,0,0,0,7,6,3,5,6,7,6,5,MALE,68,1,1,1
121,162366,0,6,0,0,5,7,0,6,5,0,0,8,7,0,8,5,0,0,8,5,0,MALE,24,0,1,0
122,162703,4,1,0,0,0,3,1,1,1,0,0,0,1,0,1,2,0,0,0,1,1,MALE,39,4,1,1
123,162784,0,3,0,0,1,0,3,0,1,0,0,2,1,3,0,1,0,0,3,3,3,MALE,39,2,1,1
124,162852,0,6,4,5,5,5,6,5,0,5,5,7,4,5,5,7,4,7,5,7,7,MALE,35,0,1,0
125,163579,5,7,7,5,6,7,6,7,7,7,8,8,7,7,6,0,7,7,6,7,7,MALE,35,3,1,1
126,163850,6,0,0,0,5,6,6,8,0,0,0,7,7,5,4,0,0,0,4,4,5,MALE,42,0,1,0
127,164378,6,7,6,5,7,5,6,6,7,7,1,7,7,7,7,1,6,5,7,0,6,MALE,30,0,1,0
128,165666,8,5,6,6,7,7,6,5,6,6,8,6,8,4,6,7,5,5,7,5,6,MALE,35,1,1,1
129,165671,2,2,0,0,1,1,0,3,1,0,0,2,3,4,4,2,0,0,3,2,1,FEMALE,37,3,0,1
130,165807,6,7,5,0,5,7,8,4,8,5,0,6,8,8,6,8,7,0,5,5,4,MALE,42,1,1,1
131,166064,1,2,7,0,2,0,3,3,1,8,6,3,0,1,4,4,7,5,2,1,3,MALE,47,2,1,1
132,166573,7,0,7,7,7,5,8,6,7,6,7,5,6,6,6,8,7,5,5,8,6,MALE,43,1,1,1
133,166639,1,3,0,0,0,3,0,1,4,0,0,1,1,0,4,0,0,0,3,1,0,MALE,39,3,1,1
134,166720,0,6,0,6,0,5,7,6,4,8,8,6,7,8,0,4,6,5,6,8,4,MALE,43,0,1,0
135,166945,2,2,1,4,2,3,1,1,0,3,4,3,1,2,5,3,0,3,4,4,3,FEMALE,18,1,0,1
136,166946,8,6,0,0,5,0,5,7,7,0,0,8,0,8,7,6,0,0,6,0,5,MALE,45,1,1,1
137,167644,6,6,0,0,6,0,8,7,8,0,0,0,0,6,5,8,0,0,6,0,6,MALE,40,4,1,1
138,167665,2,1,4,0,1,4,1,3,1,6,1,3,4,3,1,4,0,0,2,3,3,MALE,38,2,1,1
139,168443,2,2,0,0,2,2,2,3,2,0,0,4,3,3,3,2,0,0,3,2,2,FEMALE,20,0,0,0
140,168640,1,0,5,7,1,4,4,4,2,5,5,4,2,3,2,4,5,7,3,4,1,MALE,44,1,1,1
141,169302,4,2,0,2,0,4,2,3,3,1,1,3,3,2,4,5,2,4,1,0,1,FEMALE,39,1,0,1
142,170367,6,7,5,5,7,6,5,6,9,7,8,5,0,6,5,6,5,6,9,6,5,MALE,27,0,1,0
143,170483,3,0,0,0,4,4,3,4,0,0,0,0,3,5,2,0,0,0,3,4,2,MALE,26,4,1,1
144,170486,6,6,8,5,7,9,5,5,8,7,7,7,6,0,5,5,7,7,7,6,5,MALE,36,3,1,1
145,170651,4,7,5,6,6,6,5,6,7,5,7,4,4,5,0,0,5,6,7,4,6,FEMALE,41,3,0,1
146,170728,2,2,0,0,1,1,1,3,3,0,0,3,0,1,1,4,0,0,3,4,3,FEMALE,23,0,0,0
147,170897,3,2,0,0,3,3,2,2,2,0,0,3,2,2,2,3,0,0,2,1,1,FEMALE,23,0,0,0
148,172476,2,4,0,0,1,2,2,2,2,0,0,4,4,3,4,4,0,0,0,5,2,FEMALE,50,1,0,1
149,172551,0,9,0,0,6,5,7,0,7,0,0,6,8,8,0,5,0,0,8,8,8,MALE,30,1,1,1
150,173853,0,2,0,0,4,1,0,2,3,0,0,3,4,0,1,3,0,0,3,3,0,MALE,18,0,1,0
151,173915,0,1,1,2,2,2,2,1,0,2,2,1,1,4,3,3,2,1,1,2,1,FEMALE,21,0,0,0
152,174225,2,2,0,0,0,3,2,1,2,0,0,4,2,3,4,1,0,0,4,4,1,MALE,32,4,1,1
153,174760,3,4,0,0,1,2,3,3,1,0,0,1,4,4,2,3,0,0,4,2,3,FEMALE,48,2,0,1
154,174808,0,1,0,0,2,3,3,0,3,0,0,3,1,2,0,2,0,0,2,1,4,MALE,19,0,1,0
155,175057,2,3,0,0,0,3,3,2,2,0,0,3,2,2,3,3,0,0,2,2,1,FEMALE,25,0,0,0
156,175163,6,7,1,0,6,6,0,0,6,0,0,6,7,0,6,6,0,0,5,7,1,MALE,44,3,1,1
157,176525,8,5,5,7,6,4,0,6,7,5,7,7,5,8,7,8,8,6,8,0,7,MALE,24,0,1,0
158,176534,8,8,7,7,7,8,6,6,8,5,8,8,6,7,0,5,8,7,8,6,6,MALE,33,4,1,1
159,176810,0,7,2,0,0,7,7,7,8,1,0,0,5,6,5,5,0,0,0,7,9,MALE,30,4,1,1
160,177586,0,4,0,0,7,6,3,0,4,0,0,4,6,3,0,0,0,0,3,5,5,MALE,53,0,1,0
161,177895,5,6,3,4,5,5,3,4,0,4,4,6,5,3,3,0,4,3,6,5,5,MALE,61,2,1,1
162,178066,2,4,6,6,3,0,3,1,2,5,4,0,3,4,1,2,7,5,2,1,1,MALE,31,3,1,1
163,178941,4,6,5,7,6,0,6,7,6,6,4,0,0,4,5,7,5,5,5,6,4,MALE,34,0,1,0
164,179408,9,5,7,6,7,5,6,6,6,8,7,7,7,5,6,6,8,7,6,5,6,MALE,44,4,1,1
165,179668,0,1,0,0,4,3,0,1,1,0,0,3,0,2,3,3,0,0,2,2,2,FEMALE,21,0,0,0
166,179898,3,3,0,0,3,2,3,2,3,0,0,2,0,2,3,0,0,0,3,0,1,FEMALE,21,0,0,0
167,180913,7,4,0,0,6,6,7,6,5,0,0,5,8,7,8,5,0,0,7,5,5,FEMALE,37,2,0,1
168,180995,9,5,6,7,5,5,8,9,9,6,8,8,7,7,8,8,5,9,8,7,6,MALE,23,1,1,1
169,181000,1,2,4,7,5,3,1,1,3,5,3,1,3,3,4,0,6,6,3,2,1,MALE,62,0,1,0
170,181496,3,3,0,0,2,0,3,3,5,0,0,3,0,2,3,3,0,0,1,0,1,MALE,68,0,1,0
171,181666,0,1,2,2,3,3,1,2,1,2,2,1,2,1,1,1,4,2,1,0,1,FEMALE,25,0,0,0
172,181941,6,7,6,7,5,5,8,5,7,5,7,5,5,6,5,0,7,7,5,9,0,MALE,34,2,1,1
173,183790,0,4,3,1,0,4,2,4,0,3,1,4,4,3,0,1,3,3,0,4,1,FEMALE,36,2,0,1
174,183844,2,1,0,0,4,2,2,2,4,0,0,2,2,3,3,2,0,0,4,2,1,MALE,24,0,1,0
175,184433,5,4,6,6,6,3,6,4,5,3,4,7,4,3,3,5,5,5,7,7,4,MALE,59,2,1,1
176,184682,7,4,5,5,4,5,4,6,4,5,6,4,4,7,4,6,6,7,8,6,7,MALE,36,0,1,0
177,184900,4,7,7,5,5,7,6,7,5,6,5,5,5,5,5,6,6,6,6,7,4,FEMALE,22,0,0,0
178,185025,6,6,6,6,7,4,6,4,6,7,4,6,6,7,6,6,0,0,7,4,6,FEMALE,22,0,0,0
179,185389,3,2,0,0,1,1,3,2,3,0,0,2,1,2,0,2,0,0,2,1,0,FEMALE,24,0,0,0
180,185474,0,0,3,7,5,5,4,3,5,4,4,4,6,3,5,4,4,6,4,6,6,MALE,70,1,1,1
181,185706,3,5,6,7,4,7,7,6,5,7,4,4,3,5,4,7,6,6,0,3,3,MALE,51,2,1,1
182,185775,3,4,0,0,0,1,4,2,3,0,0,0,2,1,1,4,0,0,0,1,4,MALE,23,0,1,0
183,185905,2,4,5,6,3,0,1,2,3,7,8,4,3,0,2,2,5,7,4,3,3,MALE,26,0,1,0
184,186153,0,2,0,0,2,4,2,0,2,0,0,1,4,4,0,5,0,0,2,2,1,MALE,28,1,1,1
185,186330,1,4,0,0,2,0,3,3,4,0,0,3,0,3,0,2,0,0,4,0,3,MALE,28,0,1,0
186,186499,4,5,0,0,6,7,6,0,4,0,0,7,6,7,6,6,0,0,4,4,5,MALE,31,0,1,0
187,187172,8,6,8,6,8,7,8,6,7,7,8,6,7,7,0,9,8,7,5,6,8,MALE,25,1,1,1
188,187173,7,7,1,0,5,7,6,7,7,0,0,6,8,8,7,1,0,0,7,8,6,MALE,22,2,1,1
189,187386,4,6,0,0,6,5,6,5,5,0,0,4,4,5,4,3,0,0,3,4,6,FEMALE,55,4,0,1
190,187398,2,2,6,0,1,2,2,2,1,0,0,1,1,1,3,2,5,0,1,2,2,MALE,46,0,1,0
191,187433,7,6,7,8,9,6,6,9,9,7,9,7,7,7,7,7,8,8,7,9,0,MALE,18,3,1,1
192,187546,6,5,5,5,6,6,6,6,6,6,6,5,4,0,0,5,7,7,4,5,4,MALE,35,0,1,0
193,187753,8,7,0,0,0,5,5,5,6,0,0,0,6,8,1,7,1,0,0,6,6,MALE,25,0,1,0
194,188014,1,3,0,0,3,3,3,2,3,0,0,3,2,1,1,2,0,0,3,1,2,FEMALE,22,0,0,0
195,188347,3,2,0,0,1,2,2,4,0,0,0,1,4,1,2,1,0,0,1,4,3,FEMALE,50,3,0,1
196,188565,5,4,4,4,7,7,6,7,7,4,5,7,5,4,5,5,6,0,5,0,5,MALE,46,0,1,0
197,188849,7,5,7,7,4,6,4,6,6,5,6,7,4,5,7,6,7,6,7,7,4,MALE,37,0,1,0
198,189241,4,3,0,0,6,3,1,2,4,0,0,2,4,1,6,2,0,0,2,2,1,MALE,30,1,1,1
199,189758,8,8,0,0,6,0,5,7,6,0,0,7,0,5,8,6,0,0,7,0,7,MALE,20,0,1,0
200,190237,5,6,7,7,7,5,7,6,5,7,7,4,6,6,5,7,7,7,6,6,7,MALE,22,0,1,0
201,190456,6,4,5,0,3,7,5,5,4,3,5,4,5,5,3,4,5,6,4,4,3,MALE,59,0,1,0
202,190484,5,7,0,0,5,6,7,5,5,0,0,7,3,4,5,5,0,0,0,6,3,MALE,51,1,1,1
203,190976,3,3,0,0,0,0,2,0,4,0,0,4,4,1,1,4,0,0,1,3,3,MALE,20,0,1,0
204,191302,2,0,7,7,1,3,1,2,4,5,7,2,5,1,0,2,8,5,1,3,1,MALE,19,0,1,0
205,191456,4,5,2,3,5,3,1,3,3,2,1,2,2,2,2,3,4,3,2,1,4,FEMALE,44,1,0,1
206,191535,7,6,8,6,9,8,8,8,6,9,8,6,0,6,6,7,8,7,7,9,6,MALE,29,2,1,1
207,191846,6,5,0,0,6,6,4,0,4,0,0,4,4,4,3,3,0,0,3,4,3,FEMALE,67,1,0,1
208,192273,5,7,1,0,6,0,5,7,6,0,0,7,1,6,7,6,0,0,4,0,7,MALE,22,0,1,0
209,192333,0,2,1,3,3,4,4,3,0,1,4,1,3,3,2,1,3,3,4,3,4,FEMALE,33,3,0,1
210,193215,4,4,0,0,0,4,5,3,5,0,0,2,3,3,1,4,0,0,4,2,1,MALE,30,2,1,1
211,193467,6,8,0,6,8,6,5,6,8,8,8,5,6,5,5,5,7,5,9,6,5,MALE,31,4,1,1
212,194053,2,4,5,7,3,4,3,3,1,5,5,2,1,2,2,0,6,4,3,1,0,MALE,35,0,1,0
213,195453,8,5,5,8,5,7,5,7,8,8,7,6,7,7,6,6,6,6,9,7,7,MALE,48,4,1,1
214,195671,0,4,0,0,0,2,2,4,3,0,0,0,2,0,1,3,0,0,0,2,2,FEMALE,35,4,0,1
215,195696,3,3,0,0,2,4,1,2,3,0,0,2,2,2,2,2,0,0,1,1,1,FEMALE,36,0,0,0
216,196516,3,4,7,0,1,2,1,2,2,7,0,4,1,3,0,2,8,0,2,2,3,MALE,19,0,1,0
217,197249,9,7,5,5,8,7,7,6,6,5,6,6,8,6,8,8,7,5,7,5,8,MALE,20,0,1,0
218,197376,8,6,6,6,8,6,6,6,5,5,5,6,8,0,8,8,6,5,8,8,6,MALE,21,0,1,0
219,198035,2,1,5,6,3,1,1,1,0,7,6,4,3,3,0,4,5,9,1,4,1,MALE,19,0,1,0
220,198602,3,4,5,4,3,2,3,2,2,4,3,5,2,2,4,1,7,5,1,1,4,MALE,51,0,1,0
221,199123,6,5,8,7,4,9,6,7,6,5,8,7,8,9,8,8,5,8,4,7,0,MALE,46,4,1,1
222,199192,5,5,7,0,6,6,9,6,6,7,0,0,9,8,6,8,8,0,9,5,5,MALE,31,4,1,1
223,199541,2,2,3,3,5,1,4,3,1,6,5,3,2,3,0,1,7,5,3,4,2,MALE,51,4,1,1
224,200882,1,3,3,1,2,3,2,1,1,3,2,4,4,5,3,4,1,3,0,3,2,FEMALE,26,1,0,1
225,201104,2,4,0,0,1,0,0,0,4,0,0,3,1,0,3,4,0,0,1,1,1,FEMALE,25,0,0,0
226,201479,4,3,0,5,6,5,6,4,0,0,4,6,5,7,4,7,0,4,6,3,4,MALE,74,2,1,1
227,202005,5,4,4,0,4,5,3,6,0,5,0,5,6,4,6,0,7,0,4,5,7,MALE,59,2,1,1
228,202682,0,3,0,0,4,3,3,2,2,0,0,2,2,1,4,4,0,0,2,4,4,FEMALE,46,2,0,1
