,day_0,day_1,day_2,day_3,day_4,day_5,day_6,day_7,age,number_of_kids,isMALE
111779,0.0,0.0,2.0,4.0,2.0,4.0,0.0,0.0,26.0,0.0,1.0
111779,0.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,26.0,0.0,1.0
111779,2.0,4.0,2.0,4.0,0.0,0.0,0.0,3.0,26.0,0.0,1.0
111779,4.0,2.0,4.0,0.0,0.0,0.0,3.0,3.0,26.0,0.0,1.0
111839,7.0,7.0,7.0,7.0,7.0,5.0,5.0,6.0,25.0,0.0,1.0
111839,7.0,7.0,7.0,7.0,5.0,5.0,6.0,6.0,25.0,0.0,1.0
111839,7.0,7.0,7.0,5.0,5.0,6.0,6.0,7.0,25.0,0.0,1.0
111839,7.0,7.0,5.0,5.0,6.0,6.0,7.0,5.0,25.0,0.0,1.0
111839,7.0,5.0,5.0,6.0,6.0,7.0,5.0,5.0,25.0,0.0,1.0
111839,5.0,5.0,6.0,6.0,7.0,5.0,5.0,6.0,25.0,0.0,1.0
111839,5.0,6.0,6.0,7.0,5.0,5.0,6.0,5.0,25.0,0.0,1.0
111839,6.0,6.0,7.0,5.0,5.0,6.0,5.0,6.0,25.0,0.0,1.0
111839,6.0,7.0,5.0,5.0,6.0,5.0,6.0,7.0,25.0,0.0,1.0
111839,7.0,5.0,5.0,6.0,5.0,6.0,7.0,6.0,25.0,0.0,1.0
111839,5.0,5.0,6.0,5.0,6.0,7.0,6.0,5.0,25.0,0.0,1.0
111839,5.0,6.0,5.0,6.0,7.0,6.0,5.0,7.0,25.0,0.0,1.0
111839,6.0,5.0,6.0,7.0,6.0,5.0,7.0,5.0,25.0,0.0,1.0
111839,5.0,6.0,7.0,6.0,5.0,7.0,5.0,6.0,25.0,0.0,1.0
112486,3.0,3.0,0.0,0.0,4.0,4.0,1.0,4.0,44.0,1.0,0.0
112486,3.0,0.0,0.0,4.0,4.0,1.0,4.0,3.0,44.0,1.0,0.0
112486,0.0,0.0,4.0,4.0,1.0,4.0,3.0,0.0,44.0,1.0,0.0
112486,0.0,4.0,4.0,1.0,4.0,3.0,0.0,0.0,44.0,1.0,0.0
112486,4.0,4.0,1.0,4.0,3.0,0.0,0.0,1.0,44.0,1.0,0.0
112486,4.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,44.0,1.0,0.0
112486,1.0,4.0,3.0,0.0,0.0,1.0,0.0,2.0,44.0,1.0,0.0
112486,4.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,44.0,1.0,0.0
112486,3.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,44.0,1.0,0.0
112486,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,44.0,1.0,0.0
112486,0.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,44.0,1.0,0.0
112486,1.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,44.0,1.0,0.0
112486,0.0,2.0,1.0,3.0,0.0,0.0,2.0,3.0,44.0,1.0,0.0
112486,2.0,1.0,3.0,0.0,0.0,2.0,3.0,4.0,44.0,1.0,0.0
112609,7.0,5.0,4.0,5.0,4.0,6.0,4.0,3.0,55.0,0.0,1.0
112609,5.0,4.0,5.0,4.0,6.0,4.0,3.0,4.0,55.0,0.0,1.0
112609,4.0,5.0,4.0,6.0,4.0,3.0,4.0,0.0,55.0,0.0,1.0
112609,5.0,4.0,6.0,4.0,3.0,4.0,0.0,4.0,55.0,0.0,1.0
112609,4.0,6.0,4.0,3.0,4.0,0.0,4.0,5.0,55.0,0.0,1.0
112609,6.0,4.0,3.0,4.0,0.0,4.0,5.0,4.0,55.0,0.0,1.0
112609,4.0,3.0,4.0,0.0,4.0,5.0,4.0,3.0,55.0,0.0,1.0
112609,3.0,4.0,0.0,4.0,5.0,4.0,3.0,6.0,55.0,0.0,1.0
112609,4.0,0.0,4.0,5.0,4.0,3.0,6.0,6.0,55.0,0.0,1.0
112609,0.0,4.0,5.0,4.0,3.0,6.0,6.0,6.0,55.0,0.0,1.0
112609,4.0,5.0,4.0,3.0,6.0,6.0,6.0,3.0,55.0,0.0,1.0
112609,5.0,4.0,3.0,6.0,6.0,6.0,3.0,4.0,55.0,0.0,1.0
112609,4.0,3.0,6.0,6.0,6.0,3.0,4.0,5.0,55.0,0.0,1.0
112609,3.0,6.0,6.0,6.0,3.0,4.0,5.0,3.0,55.0,0.0,1.0
112698,1.0,2.0,0.0,5.0,1.0,4.0,4.0,0.0,43.0,3.0,1.0
112698,2.0,0.0,5.0,1.0,4.0,4.0,0.0,4.0,43.0,3.0,1.0
112698,0.0,5.0,1.0,4.0,4.0,0.0,4.0,0.0,43.0,3.0,1.0
112698,5.0,1.0,4.0,4.0,0.0,4.0,0.0,5.0,43.0,3.0,1.0
112698,1.0,4.0,4.0,0.0,4.0,0.0,5.0,1.0,43.0,3.0,1.0
112698,4.0,4.0,0.0,4.0,0.0,5.0,1.0,4.0,43.0,3.0,1.0
112698,4.0,0.0,4.0,0.0,5.0,1.0,4.0,1.0,43.0,3.0,1.0
112698,0.0,4.0,0.0,5.0,1.0,4.0,1.0,3.0,43.0,3.0,1.0
112698,4.0,0.0,5.0,1.0,4.0,1.0,3.0,3.0,43.0,3.0,1.0
112698,0.0,5.0,1.0,4.0,1.0,3.0,3.0,0.0,43.0,3.0,1.0
112698,5.0,1.0,4.0,1.0,3.0,3.0,0.0,6.0,43.0,3.0,1.0
112698,1.0,4.0,1.0,3.0,3.0,0.0,6.0,3.0,43.0,3.0,1.0
112698,4.0,1.0,3.0,3.0,0.0,6.0,3.0,2.0,43.0,3.0,1.0
112698,1.0,3.0,3.0,0.0,6.0,3.0,2.0,5.0,43.0,3.0,1.0
112730,4.0,4.0,0.0,0.0,0.0,4.0,3.0,1.0,31.0,3.0,1.0
112730,4.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,31.0,3.0,1.0
112730,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,31.0,3.0,1.0
112730,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,31.0,3.0,1.0
112730,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,31.0,3.0,1.0
112730,4.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,31.0,3.0,1.0
112730,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,31.0,3.0,1.0
112730,1.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,31.0,3.0,1.0
112730,1.0,0.0,0.0,0.0,1.0,3.0,5.0,2.0,31.0,3.0,1.0
112730,0.0,0.0,0.0,1.0,3.0,5.0,2.0,0.0,31.0,3.0,1.0
112730,0.0,0.0,1.0,3.0,5.0,2.0,0.0,0.0,31.0,3.0,1.0
112730,0.0,1.0,3.0,5.0,2.0,0.0,0.0,0.0,31.0,3.0,1.0
112730,1.0,3.0,5.0,2.0,0.0,0.0,0.0,2.0,31.0,3.0,1.0
112730,3.0,5.0,2.0,0.0,0.0,0.0,2.0,3.0,31.0,3.0,1.0
113043,8.0,5.0,0.0,0.0,5.0,7.0,0.0,6.0,28.0,0.0,1.0
113043,5.0,0.0,0.0,5.0,7.0,0.0,6.0,5.0,28.0,0.0,1.0
113043,0.0,0.0,5.0,7.0,0.0,6.0,5.0,0.0,28.0,0.0,1.0
113043,0.0,5.0,7.0,0.0,6.0,5.0,0.0,0.0,28.0,0.0,1.0
113043,5.0,7.0,0.0,6.0,5.0,0.0,0.0,8.0,28.0,0.0,1.0
113043,7.0,0.0,6.0,5.0,0.0,0.0,8.0,7.0,28.0,0.0,1.0
113043,0.0,6.0,5.0,0.0,0.0,8.0,7.0,0.0,28.0,0.0,1.0
113043,6.0,5.0,0.0,0.0,8.0,7.0,0.0,6.0,28.0,0.0,1.0
113043,5.0,0.0,0.0,8.0,7.0,0.0,6.0,7.0,28.0,0.0,1.0
113043,0.0,0.0,8.0,7.0,0.0,6.0,7.0,0.0,28.0,0.0,1.0
113043,0.0,8.0,7.0,0.0,6.0,7.0,0.0,0.0,28.0,0.0,1.0
113043,8.0,7.0,0.0,6.0,7.0,0.0,0.0,4.0,28.0,0.0,1.0
113043,7.0,0.0,6.0,7.0,0.0,0.0,4.0,6.0,28.0,0.0,1.0
113043,0.0,6.0,7.0,0.0,0.0,4.0,6.0,0.0,28.0,0.0,1.0
113140,7.0,7.0,5.0,7.0,1.0,5.0,5.0,7.0,18.0,0.0,1.0
113140,7.0,5.0,7.0,1.0,5.0,5.0,7.0,7.0,18.0,0.0,1.0
113140,5.0,7.0,1.0,5.0,5.0,7.0,7.0,6.0,18.0,0.0,1.0
113140,7.0,1.0,5.0,5.0,7.0,7.0,6.0,7.0,18.0,0.0,1.0
113140,1.0,5.0,5.0,7.0,7.0,6.0,7.0,7.0,18.0,0.0,1.0
113140,5.0,5.0,7.0,7.0,6.0,7.0,7.0,2.0,18.0,0.0,1.0
113140,5.0,7.0,7.0,6.0,7.0,7.0,2.0,7.0,18.0,0.0,1.0
113140,7.0,7.0,6.0,7.0,7.0,2.0,7.0,6.0,18.0,0.0,1.0
113140,7.0,6.0,7.0,7.0,2.0,7.0,6.0,7.0,18.0,0.0,1.0
113140,6.0,7.0,7.0,2.0,7.0,6.0,7.0,7.0,18.0,0.0,1.0
113140,7.0,7.0,2.0,7.0,6.0,7.0,7.0,8.0,18.0,0.0,1.0
113140,7.0,2.0,7.0,6.0,7.0,7.0,8.0,8.0,18.0,0.0,1.0
113140,2.0,7.0,6.0,7.0,7.0,8.0,8.0,8.0,18.0,0.0,1.0
113140,7.0,6.0,7.0,7.0,8.0,8.0,8.0,7.0,18.0,0.0,1.0
114890,4.0,5.0,5.0,0.0,7.0,6.0,4.0,7.0,73.0,1.0,1.0
114890,5.0,5.0,0.0,7.0,6.0,4.0,7.0,5.0,73.0,1.0,1.0
114890,5.0,0.0,7.0,6.0,4.0,7.0,5.0,7.0,73.0,1.0,1.0
114890,0.0,7.0,6.0,4.0,7.0,5.0,7.0,0.0,73.0,1.0,1.0
114890,7.0,6.0,4.0,7.0,5.0,7.0,0.0,5.0,73.0,1.0,1.0
114890,6.0,4.0,7.0,5.0,7.0,0.0,5.0,5.0,73.0,1.0,1.0
114890,4.0,7.0,5.0,7.0,0.0,5.0,5.0,4.0,73.0,1.0,1.0
114890,7.0,5.0,7.0,0.0,5.0,5.0,4.0,3.0,73.0,1.0,1.0
114890,5.0,7.0,0.0,5.0,5.0,4.0,3.0,6.0,73.0,1.0,1.0
114890,7.0,0.0,5.0,5.0,4.0,3.0,6.0,5.0,73.0,1.0,1.0
114890,0.0,5.0,5.0,4.0,3.0,6.0,5.0,0.0,73.0,1.0,1.0
114890,5.0,5.0,4.0,3.0,6.0,5.0,0.0,6.0,73.0,1.0,1.0
114890,5.0,4.0,3.0,6.0,5.0,0.0,6.0,5.0,73.0,1.0,1.0
114890,4.0,3.0,6.0,5.0,0.0,6.0,5.0,5.0,73.0,1.0,1.0
115159,2.0,0.0,4.0,5.0,4.0,3.0,0.0,1.0,64.0,2.0,1.0
115159,0.0,4.0,5.0,4.0,3.0,0.0,1.0,2.0,64.0,2.0,1.0
115159,4.0,5.0,4.0,3.0,0.0,1.0,2.0,4.0,64.0,2.0,1.0
115159,5.0,4.0,3.0,0.0,1.0,2.0,4.0,7.0,64.0,2.0,1.0
115159,4.0,3.0,0.0,1.0,2.0,4.0,7.0,2.0,64.0,2.0,1.0
115159,3.0,0.0,1.0,2.0,4.0,7.0,2.0,4.0,64.0,2.0,1.0
115159,0.0,1.0,2.0,4.0,7.0,2.0,4.0,1.0,64.0,2.0,1.0
115159,1.0,2.0,4.0,7.0,2.0,4.0,1.0,4.0,64.0,2.0,1.0
115159,2.0,4.0,7.0,2.0,4.0,1.0,4.0,3.0,64.0,2.0,1.0
115159,4.0,7.0,2.0,4.0,1.0,4.0,3.0,6.0,64.0,2.0,1.0
115159,7.0,2.0,4.0,1.0,4.0,3.0,6.0,3.0,64.0,2.0,1.0
115159,2.0,4.0,1.0,4.0,3.0,6.0,3.0,2.0,64.0,2.0,1.0
115159,4.0,1.0,4.0,3.0,6.0,3.0,2.0,2.0,64.0,2.0,1.0
115159,1.0,4.0,3.0,6.0,3.0,2.0,2.0,4.0,64.0,2.0,1.0
115363,7.0,7.0,5.0,7.0,7.0,7.0,6.0,5.0,30.0,0.0,1.0
115363,7.0,5.0,7.0,7.0,7.0,6.0,5.0,7.0,30.0,0.0,1.0
115363,5.0,7.0,7.0,7.0,6.0,5.0,7.0,8.0,30.0,0.0,1.0
115363,7.0,7.0,7.0,6.0,5.0,7.0,8.0,9.0,30.0,0.0,1.0
115363,7.0,7.0,6.0,5.0,7.0,8.0,9.0,7.0,30.0,0.0,1.0
115363,7.0,6.0,5.0,7.0,8.0,9.0,7.0,7.0,30.0,0.0,1.0
115363,6.0,5.0,7.0,8.0,9.0,7.0,7.0,8.0,30.0,0.0,1.0
115363,5.0,7.0,8.0,9.0,7.0,7.0,8.0,5.0,30.0,0.0,1.0
115363,7.0,8.0,9.0,7.0,7.0,8.0,5.0,7.0,30.0,0.0,1.0
115363,8.0,9.0,7.0,7.0,8.0,5.0,7.0,7.0,30.0,0.0,1.0
115363,9.0,7.0,7.0,8.0,5.0,7.0,7.0,8.0,30.0,0.0,1.0
115363,7.0,7.0,8.0,5.0,7.0,7.0,8.0,8.0,30.0,0.0,1.0
115363,7.0,8.0,5.0,7.0,7.0,8.0,8.0,7.0,30.0,0.0,1.0
115363,8.0,5.0,7.0,7.0,8.0,8.0,7.0,5.0,30.0,0.0,1.0
115812,4.0,0.0,0.0,0.0,3.0,5.0,4.0,5.0,51.0,1.0,1.0
115812,0.0,0.0,0.0,3.0,5.0,4.0,5.0,0.0,51.0,1.0,1.0
115812,0.0,0.0,3.0,5.0,4.0,5.0,0.0,0.0,51.0,1.0,1.0
115812,0.0,3.0,5.0,4.0,5.0,0.0,0.0,0.0,51.0,1.0,1.0
115812,3.0,5.0,4.0,5.0,0.0,0.0,0.0,4.0,51.0,1.0,1.0
115812,5.0,4.0,5.0,0.0,0.0,0.0,4.0,4.0,51.0,1.0,1.0
115812,4.0,5.0,0.0,0.0,0.0,4.0,4.0,5.0,51.0,1.0,1.0
115812,5.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,51.0,1.0,1.0
115812,0.0,0.0,0.0,4.0,4.0,5.0,5.0,0.0,51.0,1.0,1.0
115812,0.0,0.0,4.0,4.0,5.0,5.0,0.0,0.0,51.0,1.0,1.0
115812,0.0,4.0,4.0,5.0,5.0,0.0,0.0,0.0,51.0,1.0,1.0
115812,4.0,4.0,5.0,5.0,0.0,0.0,0.0,4.0,51.0,1.0,1.0
115812,4.0,5.0,5.0,0.0,0.0,0.0,4.0,6.0,51.0,1.0,1.0
115812,5.0,5.0,0.0,0.0,0.0,4.0,6.0,6.0,51.0,1.0,1.0
116007,7.0,0.0,9.0,8.0,4.0,6.0,7.0,8.0,31.0,1.0,1.0
116007,0.0,9.0,8.0,4.0,6.0,7.0,8.0,5.0,31.0,1.0,1.0
116007,9.0,8.0,4.0,6.0,7.0,8.0,5.0,4.0,31.0,1.0,1.0
116007,8.0,4.0,6.0,7.0,8.0,5.0,4.0,5.0,31.0,1.0,1.0
116007,4.0,6.0,7.0,8.0,5.0,4.0,5.0,5.0,31.0,1.0,1.0
116007,6.0,7.0,8.0,5.0,4.0,5.0,5.0,8.0,31.0,1.0,1.0
116007,7.0,8.0,5.0,4.0,5.0,5.0,8.0,6.0,31.0,1.0,1.0
116007,8.0,5.0,4.0,5.0,5.0,8.0,6.0,5.0,31.0,1.0,1.0
116007,5.0,4.0,5.0,5.0,8.0,6.0,5.0,7.0,31.0,1.0,1.0
116007,4.0,5.0,5.0,8.0,6.0,5.0,7.0,6.0,31.0,1.0,1.0
116007,5.0,5.0,8.0,6.0,5.0,7.0,6.0,5.0,31.0,1.0,1.0
116007,5.0,8.0,6.0,5.0,7.0,6.0,5.0,8.0,31.0,1.0,1.0
116007,8.0,6.0,5.0,7.0,6.0,5.0,8.0,8.0,31.0,1.0,1.0
116007,6.0,5.0,7.0,6.0,5.0,8.0,8.0,6.0,31.0,1.0,1.0
117677,3.0,0.0,5.0,0.0,1.0,1.0,1.0,3.0,46.0,0.0,1.0
117677,0.0,5.0,0.0,1.0,1.0,1.0,3.0,2.0,46.0,0.0,1.0
117677,5.0,0.0,1.0,1.0,1.0,3.0,2.0,7.0,46.0,0.0,1.0
117677,0.0,1.0,1.0,1.0,3.0,2.0,7.0,0.0,46.0,0.0,1.0
117677,1.0,1.0,1.0,3.0,2.0,7.0,0.0,2.0,46.0,0.0,1.0
117677,1.0,1.0,3.0,2.0,7.0,0.0,2.0,2.0,46.0,0.0,1.0
117677,1.0,3.0,2.0,7.0,0.0,2.0,2.0,2.0,46.0,0.0,1.0
117677,3.0,2.0,7.0,0.0,2.0,2.0,2.0,2.0,46.0,0.0,1.0
117677,2.0,7.0,0.0,2.0,2.0,2.0,2.0,3.0,46.0,0.0,1.0
117677,7.0,0.0,2.0,2.0,2.0,2.0,3.0,5.0,46.0,0.0,1.0
117677,0.0,2.0,2.0,2.0,2.0,3.0,5.0,0.0,46.0,0.0,1.0
117677,2.0,2.0,2.0,2.0,3.0,5.0,0.0,4.0,46.0,0.0,1.0
117677,2.0,2.0,2.0,3.0,5.0,0.0,4.0,3.0,46.0,0.0,1.0
117677,2.0,2.0,3.0,5.0,0.0,4.0,3.0,4.0,46.0,0.0,1.0
118193,2.0,5.0,0.0,0.0,1.0,0.0,3.0,1.0,48.0,2.0,1.0
118193,5.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,48.0,2.0,1.0
118193,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,48.0,2.0,1.0
118193,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,48.0,2.0,1.0
118193,1.0,0.0,3.0,1.0,1.0,0.0,0.0,5.0,48.0,2.0,1.0
118193,0.0,3.0,1.0,1.0,0.0,0.0,5.0,0.0,48.0,2.0,1.0
118193,3.0,1.0,1.0,0.0,0.0,5.0,0.0,2.0,48.0,2.0,1.0
118193,1.0,1.0,0.0,0.0,5.0,0.0,2.0,2.0,48.0,2.0,1.0
118193,1.0,0.0,0.0,5.0,0.0,2.0,2.0,4.0,48.0,2.0,1.0
118193,0.0,0.0,5.0,0.0,2.0,2.0,4.0,0.0,48.0,2.0,1.0
118193,0.0,5.0,0.0,2.0,2.0,4.0,0.0,0.0,48.0,2.0,1.0
118193,5.0,0.0,2.0,2.0,4.0,0.0,0.0,3.0,48.0,2.0,1.0
118193,0.0,2.0,2.0,4.0,0.0,0.0,3.0,0.0,48.0,2.0,1.0
118193,2.0,2.0,4.0,0.0,0.0,3.0,0.0,3.0,48.0,2.0,1.0
119052,4.0,5.0,6.0,5.0,7.0,7.0,5.0,7.0,32.0,2.0,1.0
119052,5.0,6.0,5.0,7.0,7.0,5.0,7.0,7.0,32.0,2.0,1.0
119052,6.0,5.0,7.0,7.0,5.0,7.0,7.0,6.0,32.0,2.0,1.0
119052,5.0,7.0,7.0,5.0,7.0,7.0,6.0,7.0,32.0,2.0,1.0
119052,7.0,7.0,5.0,7.0,7.0,6.0,7.0,6.0,32.0,2.0,1.0
119052,7.0,5.0,7.0,7.0,6.0,7.0,6.0,7.0,32.0,2.0,1.0
119052,5.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,32.0,2.0,1.0
119052,7.0,7.0,6.0,7.0,6.0,7.0,7.0,8.0,32.0,2.0,1.0
119052,7.0,6.0,7.0,6.0,7.0,7.0,8.0,7.0,32.0,2.0,1.0
119052,6.0,7.0,6.0,7.0,7.0,8.0,7.0,6.0,32.0,2.0,1.0
119052,7.0,6.0,7.0,7.0,8.0,7.0,6.0,7.0,32.0,2.0,1.0
119052,6.0,7.0,7.0,8.0,7.0,6.0,7.0,8.0,32.0,2.0,1.0
119052,7.0,7.0,8.0,7.0,6.0,7.0,8.0,8.0,32.0,2.0,1.0
119052,7.0,8.0,7.0,6.0,7.0,8.0,8.0,6.0,32.0,2.0,1.0
119171,2.0,4.0,0.0,6.0,4.0,1.0,1.0,0.0,69.0,4.0,1.0
119171,4.0,0.0,6.0,4.0,1.0,1.0,0.0,4.0,69.0,4.0,1.0
119171,0.0,6.0,4.0,1.0,1.0,0.0,4.0,0.0,69.0,4.0,1.0
119171,6.0,4.0,1.0,1.0,0.0,4.0,0.0,6.0,69.0,4.0,1.0
119171,4.0,1.0,1.0,0.0,4.0,0.0,6.0,3.0,69.0,4.0,1.0
119171,1.0,1.0,0.0,4.0,0.0,6.0,3.0,2.0,69.0,4.0,1.0
119171,1.0,0.0,4.0,0.0,6.0,3.0,2.0,1.0,69.0,4.0,1.0
119171,0.0,4.0,0.0,6.0,3.0,2.0,1.0,0.0,69.0,4.0,1.0
119171,4.0,0.0,6.0,3.0,2.0,1.0,0.0,5.0,69.0,4.0,1.0
119171,0.0,6.0,3.0,2.0,1.0,0.0,5.0,0.0,69.0,4.0,1.0
119171,6.0,3.0,2.0,1.0,0.0,5.0,0.0,6.0,69.0,4.0,1.0
119171,3.0,2.0,1.0,0.0,5.0,0.0,6.0,1.0,69.0,4.0,1.0
119171,2.0,1.0,0.0,5.0,0.0,6.0,1.0,3.0,69.0,4.0,1.0
119171,1.0,0.0,5.0,0.0,6.0,1.0,3.0,3.0,69.0,4.0,1.0
119197,6.0,6.0,8.0,9.0,9.0,8.0,6.0,9.0,20.0,1.0,1.0
119197,6.0,8.0,9.0,9.0,8.0,6.0,9.0,8.0,20.0,1.0,1.0
119197,8.0,9.0,9.0,8.0,6.0,9.0,8.0,6.0,20.0,1.0,1.0
119197,9.0,9.0,8.0,6.0,9.0,8.0,6.0,9.0,20.0,1.0,1.0
119197,9.0,8.0,6.0,9.0,8.0,6.0,9.0,8.0,20.0,1.0,1.0
119197,8.0,6.0,9.0,8.0,6.0,9.0,8.0,9.0,20.0,1.0,1.0
119197,6.0,9.0,8.0,6.0,9.0,8.0,9.0,7.0,20.0,1.0,1.0
119197,9.0,8.0,6.0,9.0,8.0,9.0,7.0,5.0,20.0,1.0,1.0
119197,8.0,6.0,9.0,8.0,9.0,7.0,5.0,0.0,20.0,1.0,1.0
119197,6.0,9.0,8.0,9.0,7.0,5.0,0.0,7.0,20.0,1.0,1.0
119197,9.0,8.0,9.0,7.0,5.0,0.0,7.0,5.0,20.0,1.0,1.0
119197,8.0,9.0,7.0,5.0,0.0,7.0,5.0,0.0,20.0,1.0,1.0
119197,9.0,7.0,5.0,0.0,7.0,5.0,0.0,9.0,20.0,1.0,1.0
119197,7.0,5.0,0.0,7.0,5.0,0.0,9.0,8.0,20.0,1.0,1.0
119624,7.0,4.0,5.0,0.0,5.0,5.0,7.0,5.0,30.0,0.0,1.0
119624,4.0,5.0,0.0,5.0,5.0,7.0,5.0,6.0,30.0,0.0,1.0
119624,5.0,0.0,5.0,5.0,7.0,5.0,6.0,4.0,30.0,0.0,1.0
119624,0.0,5.0,5.0,7.0,5.0,6.0,4.0,6.0,30.0,0.0,1.0
119624,5.0,5.0,7.0,5.0,6.0,4.0,6.0,5.0,30.0,0.0,1.0
119624,5.0,7.0,5.0,6.0,4.0,6.0,5.0,7.0,30.0,0.0,1.0
119624,7.0,5.0,6.0,4.0,6.0,5.0,7.0,8.0,30.0,0.0,1.0
119624,5.0,6.0,4.0,6.0,5.0,7.0,8.0,7.0,30.0,0.0,1.0
119624,6.0,4.0,6.0,5.0,7.0,8.0,7.0,7.0,30.0,0.0,1.0
119624,4.0,6.0,5.0,7.0,8.0,7.0,7.0,7.0,30.0,0.0,1.0
119624,6.0,5.0,7.0,8.0,7.0,7.0,7.0,7.0,30.0,0.0,1.0
119624,5.0,7.0,8.0,7.0,7.0,7.0,7.0,6.0,30.0,0.0,1.0
119624,7.0,8.0,7.0,7.0,7.0,7.0,6.0,5.0,30.0,0.0,1.0
119624,8.0,7.0,7.0,7.0,7.0,6.0,5.0,5.0,30.0,0.0,1.0
120546,5.0,7.0,6.0,6.0,4.0,8.0,7.0,7.0,42.0,3.0,1.0
